,name,error,time_taken,rank,recompression_rank,run,left_rank,right_rank
729,STTA+3,0.0012895412562862268,0.03714180085808039,,10.0,9.0,14.0,17.0
730,STTA+3,0.001238956767033047,0.036596124060451984,,10.0,10.0,14.0,17.0
731,STTA+3,0.0011444325213110557,0.036565419752150774,,10.0,11.0,14.0,17.0
732,STTA+3,0.0010607952601184418,0.04011810105293989,,10.0,12.0,14.0,17.0
733,STTA+3,0.0014782145255404539,0.037466950714588165,,10.0,13.0,14.0,17.0
734,STTA+3,0.0019427372058083284,0.037583719938993454,,10.0,14.0,14.0,17.0
735,STTA+3,0.0011559155051902405,0.03633875586092472,,10.0,15.0,14.0,17.0
736,STTA+3,0.001048599222349279,0.036715137772262096,,10.0,16.0,14.0,17.0
737,STTA+3,0.001372079931920682,0.04051305679604411,,10.0,17.0,14.0,17.0
738,STTA+3,0.0015533248522628588,0.03926495602354407,,10.0,18.0,14.0,17.0
739,STTA+3,0.00149633800764252,0.0388767528347671,,10.0,19.0,14.0,17.0
740,STTA+3,0.0010974761719436757,0.040528396144509315,,10.0,20.0,14.0,17.0
741,STTA+3,0.0011050528594093118,0.04755711788311601,,10.0,21.0,14.0,17.0
742,STTA+3,0.0017461104331014405,0.1305942703038454,,10.0,22.0,14.0,17.0
743,STTA+3,0.0015455309321051418,0.044568715151399374,,10.0,23.0,14.0,17.0
744,STTA+3,0.0012014373086248259,0.04809253429993987,,10.0,24.0,14.0,17.0
745,STTA+3,0.0015477325639848105,0.04070698190480471,,10.0,25.0,14.0,17.0
746,STTA+3,0.0013820102211300807,0.04433505004271865,,10.0,26.0,14.0,17.0
747,STTA+3,0.0021134201556282854,0.03710079286247492,,10.0,27.0,14.0,17.0
748,STTA+3,0.0009831706618195196,0.03654950298368931,,10.0,28.0,14.0,17.0
749,STTA+3,0.0017812948900348953,0.038688105065375566,,10.0,29.0,14.0,17.0
750,STTA+3,0.0012937520692587524,0.036911719013005495,,10.0,0.0,15.0,18.0
751,STTA+3,0.0013040441291290315,0.04112434200942516,,10.0,1.0,15.0,18.0
752,STTA+3,0.0011496584919821918,0.04050161922350526,,10.0,2.0,15.0,18.0
753,STTA+3,0.0014073298525487804,0.03703928831964731,,10.0,3.0,15.0,18.0
754,STTA+3,0.000945864748264596,0.043743083253502846,,10.0,4.0,15.0,18.0
755,STTA+3,0.0013585562913498435,0.039026983082294464,,10.0,5.0,15.0,18.0
756,STTA+3,0.0020255245368206876,0.036978598684072495,,10.0,6.0,15.0,18.0
757,STTA+3,0.0012140216611456764,0.04982127109542489,,10.0,7.0,15.0,18.0
758,STTA+3,0.0010685156036856986,0.039600188843905926,,10.0,8.0,15.0,18.0
759,STTA+3,0.0012493904454437858,0.0572836771607399,,10.0,9.0,15.0,18.0
760,STTA+3,0.0019659551552880868,0.03765186807140708,,10.0,10.0,15.0,18.0
761,STTA+3,0.001476065822512051,0.03633962804451585,,10.0,11.0,15.0,18.0
762,STTA+3,0.0012173346449487,0.040034690871834755,,10.0,12.0,15.0,18.0
763,STTA+3,0.001289053775694801,0.03978538699448109,,10.0,13.0,15.0,18.0
764,STTA+3,0.0009105587656771089,0.04143267264589667,,10.0,14.0,15.0,18.0
765,STTA+3,0.0011261698490764042,0.03895601397380233,,10.0,15.0,15.0,18.0
766,STTA+3,0.000912315086194336,0.04677870124578476,,10.0,16.0,15.0,18.0
767,STTA+3,0.0015201189055883161,0.04019241826608777,,10.0,17.0,15.0,18.0
768,STTA+3,0.0012916781655180106,0.03750123782083392,,10.0,18.0,15.0,18.0
769,STTA+3,0.001879804300054071,0.04320178693160415,,10.0,19.0,15.0,18.0
770,STTA+3,0.0009544940747701558,0.04688081005588174,,10.0,20.0,15.0,18.0
771,STTA+3,0.0011283016282881073,0.0480451169423759,,10.0,21.0,15.0,18.0
772,STTA+3,0.0013004068945446112,0.046299287118017673,,10.0,22.0,15.0,18.0
773,STTA+3,0.0013058819845586708,0.04327779309824109,,10.0,23.0,15.0,18.0
774,STTA+3,0.001513840759011649,0.037043408025056124,,10.0,24.0,15.0,18.0
775,STTA+3,0.0010044936345815394,0.037664694245904684,,10.0,25.0,15.0,18.0
776,STTA+3,0.0014404321834277718,0.04095316678285599,,10.0,26.0,15.0,18.0
777,STTA+3,0.0009649334062186681,0.036892048083245754,,10.0,27.0,15.0,18.0
778,STTA+3,0.0015458487879212082,0.03733334597200155,,10.0,28.0,15.0,18.0
779,STTA+3,0.001258140290408045,0.037433615420013666,,10.0,29.0,15.0,18.0
780,STTA+3,0.001097789210153428,0.04045144887641072,,10.0,0.0,16.0,19.0
781,STTA+3,0.001213733125133847,0.04872068716213107,,10.0,1.0,16.0,19.0
782,STTA+3,0.0011747246295209781,0.04195841262117028,,10.0,2.0,16.0,19.0
783,STTA+3,0.001035510602379847,0.04661225434392691,,10.0,3.0,16.0,19.0
784,STTA+3,0.0012471395195179738,0.03836612310260534,,10.0,4.0,16.0,19.0
785,STTA+3,0.001163366621799462,0.03913999442011118,,10.0,5.0,16.0,19.0
786,STTA+3,0.001621141668536369,0.04378395900130272,,10.0,6.0,16.0,19.0
787,STTA+3,0.0010830785901244117,0.037910982966423035,,10.0,7.0,16.0,19.0
788,STTA+3,0.0011990944279814991,0.037881221156567335,,10.0,8.0,16.0,19.0
789,STTA+3,0.0010939323930658578,0.04030851228162646,,10.0,9.0,16.0,19.0
790,STTA+3,0.0010801803373849598,0.04734333325177431,,10.0,10.0,16.0,19.0
791,STTA+3,0.0011993377706729952,0.03943448420614004,,10.0,11.0,16.0,19.0
792,STTA+3,0.001126321049030893,0.043179526925086975,,10.0,12.0,16.0,19.0
793,STTA+3,0.0013277362058216138,0.0361666651442647,,10.0,13.0,16.0,19.0
794,STTA+3,0.0010272377337804436,0.04059985792264342,,10.0,14.0,16.0,19.0
795,STTA+3,0.0010504461131191352,0.04938513087108731,,10.0,15.0,16.0,19.0
796,STTA+3,0.0017239695350003087,0.03876075707376003,,10.0,16.0,16.0,19.0
797,STTA+3,0.0010825130162591958,0.04028803575783968,,10.0,17.0,16.0,19.0
798,STTA+3,0.001328464023084581,0.048358457162976265,,10.0,18.0,16.0,19.0
799,STTA+3,0.0015207113712837927,0.039980837143957615,,10.0,19.0,16.0,19.0
800,STTA+3,0.0010258180696002682,0.036840536165982485,,10.0,20.0,16.0,19.0
801,STTA+3,0.002111615744971168,0.0386940548196435,,10.0,21.0,16.0,19.0
802,STTA+3,0.0013279825259826057,0.03806051705032587,,10.0,22.0,16.0,19.0
803,STTA+3,0.0014393634178423722,0.03706172900274396,,10.0,23.0,16.0,19.0
804,STTA+3,0.0011730641577037803,0.03985819686204195,,10.0,24.0,16.0,19.0
805,STTA+3,0.001621869734792385,0.04687108192592859,,10.0,25.0,16.0,19.0
806,STTA+3,0.0011084850850961803,0.04774924227967858,,10.0,26.0,16.0,19.0
807,STTA+3,0.0010116267393995154,0.05308206286281347,,10.0,27.0,16.0,19.0
808,STTA+3,0.001106088936920201,0.04568311106413603,,10.0,28.0,16.0,19.0
809,STTA+3,0.0013897988388713763,0.03850737074390054,,10.0,29.0,16.0,19.0
810,STTA+3,0.0009643720230388858,0.038696831092238426,,10.0,0.0,17.0,20.0
