,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
148,148.0,148.0,OTTS,0.0810439107374418,0.0090911062434315,5.0,10.0,28.0,
149,149.0,149.0,OTTS,0.0245920849933942,0.0070247761905193,5.0,10.0,29.0,
150,150.0,150.0,OTTS,0.0134589608983183,0.0073915058746933,6.0,12.0,0.0,
151,151.0,151.0,OTTS,0.018717780556743,0.0080418353900313,6.0,12.0,1.0,
152,152.0,152.0,OTTS,0.0210861565196775,0.0076744109392166,6.0,12.0,2.0,
153,153.0,153.0,OTTS,0.0160223628472723,0.0075888922438025,6.0,12.0,3.0,
154,154.0,154.0,OTTS,0.0178431021622299,0.0085903592407703,6.0,12.0,4.0,
155,155.0,155.0,OTTS,0.0310760998199376,0.0198966702446341,6.0,12.0,5.0,
156,156.0,156.0,OTTS,0.0147433200592595,0.0077489987015724,6.0,12.0,6.0,
157,157.0,157.0,OTTS,0.0178006621589929,0.0225507272407412,6.0,12.0,7.0,
158,158.0,158.0,OTTS,0.0199990564249916,0.0094733284786343,6.0,12.0,8.0,
159,159.0,159.0,OTTS,0.0201471043997969,0.0079390872269868,6.0,12.0,9.0,
160,160.0,160.0,OTTS,0.0174446549904561,0.0095658525824546,6.0,12.0,10.0,
161,161.0,161.0,OTTS,0.0191427390938111,0.0108862919732928,6.0,12.0,11.0,
162,162.0,162.0,OTTS,0.0223658543166055,0.0899993674829602,6.0,12.0,12.0,
163,163.0,163.0,OTTS,0.0209181253231534,0.0462666694074869,6.0,12.0,13.0,
164,164.0,164.0,OTTS,0.0235562329280529,0.0274181673303246,6.0,12.0,14.0,
165,165.0,165.0,OTTS,0.0181739624946143,0.0085694277659058,6.0,12.0,15.0,
166,166.0,166.0,OTTS,0.0194201197583875,0.0287583796307444,6.0,12.0,16.0,
167,167.0,167.0,OTTS,0.0143390087214276,0.00831516738981,6.0,12.0,17.0,
168,168.0,168.0,OTTS,0.02090954600534,0.0080969939008355,6.0,12.0,18.0,
169,169.0,169.0,OTTS,0.0137833444459956,0.0118930274620652,6.0,12.0,19.0,
170,170.0,170.0,OTTS,0.0177308038599275,0.0093410089612007,6.0,12.0,20.0,
171,171.0,171.0,OTTS,0.0212903147481515,0.015411339700222,6.0,12.0,21.0,
172,172.0,172.0,OTTS,0.0170258012072724,0.0091253565624356,6.0,12.0,22.0,
173,173.0,173.0,OTTS,0.0194681045331845,0.0110031282529234,6.0,12.0,23.0,
174,174.0,174.0,OTTS,0.0165824109393168,0.0139349373057484,6.0,12.0,24.0,
175,175.0,175.0,OTTS,0.0152711971295877,0.02728858217597,6.0,12.0,25.0,
176,176.0,176.0,OTTS,0.0146333095696015,0.0119492867961525,6.0,12.0,26.0,
177,177.0,177.0,OTTS,0.0265570967365583,0.0123624419793486,6.0,12.0,27.0,
178,178.0,178.0,OTTS,0.0235948016401038,0.0093163335695862,6.0,12.0,28.0,
179,179.0,179.0,OTTS,0.0209904242482831,0.0097980191931128,6.0,12.0,29.0,
180,180.0,180.0,OTTS,0.0163028382921976,0.0118998466059565,7.0,14.0,0.0,
181,181.0,181.0,OTTS,0.0172860646099861,0.0229656193405389,7.0,14.0,1.0,
182,182.0,182.0,OTTS,0.010286497093746,0.0118997953832149,7.0,14.0,2.0,
183,183.0,183.0,OTTS,0.014250911863712,0.017769974656403,7.0,14.0,3.0,
184,184.0,184.0,OTTS,0.0161213007651634,0.0127715235576033,7.0,14.0,4.0,
185,185.0,185.0,OTTS,0.0124529843194377,0.0116764567792415,7.0,14.0,5.0,
186,186.0,186.0,OTTS,0.014045404495336,0.0164277907460927,7.0,14.0,6.0,
187,187.0,187.0,OTTS,0.0166499166609466,0.0095292357727885,7.0,14.0,7.0,
188,188.0,188.0,OTTS,0.0118036517486357,0.016297566704452,7.0,14.0,8.0,
189,189.0,189.0,OTTS,0.0255249281622797,0.0084871584549546,7.0,14.0,9.0,
190,190.0,190.0,OTTS,0.0176886653617716,0.0082280123606324,7.0,14.0,10.0,
191,191.0,191.0,OTTS,0.0153620495613341,0.008987309411168,7.0,14.0,11.0,
192,192.0,192.0,OTTS,0.0112155212348776,0.0081233857199549,7.0,14.0,12.0,
193,193.0,193.0,OTTS,0.0110821297869136,0.0102734910324215,7.0,14.0,13.0,
194,194.0,194.0,OTTS,0.0104887415457108,0.0159245245158672,7.0,14.0,14.0,
195,195.0,195.0,OTTS,0.0138588722412461,0.0102677326649427,7.0,14.0,15.0,
196,196.0,196.0,OTTS,0.0114447191580961,0.0120020108297467,7.0,14.0,16.0,
197,197.0,197.0,OTTS,0.0130216429092158,0.0157464798539876,7.0,14.0,17.0,
198,198.0,198.0,OTTS,0.0122184160750048,0.0100957555696368,7.0,14.0,18.0,
199,199.0,199.0,OTTS,0.0109551909716769,0.0124364895746111,7.0,14.0,19.0,
200,200.0,200.0,OTTS,0.0141445969338934,0.0086036222055554,7.0,14.0,20.0,
201,201.0,201.0,OTTS,0.0153694846486988,0.01180708874017,7.0,14.0,21.0,
202,202.0,202.0,OTTS,0.0146132052416102,0.0089747123420238,7.0,14.0,22.0,
203,203.0,203.0,OTTS,0.0187106322414149,0.0083251651376485,7.0,14.0,23.0,
204,204.0,204.0,OTTS,0.0113845787620969,0.0080988267436623,7.0,14.0,24.0,
205,205.0,205.0,OTTS,0.0118499213324315,0.007892632856965,7.0,14.0,25.0,
206,206.0,206.0,OTTS,0.018708185309576,0.0077867191284894,7.0,14.0,26.0,
207,207.0,207.0,OTTS,0.0167145074902155,0.0084421727806329,7.0,14.0,27.0,
208,208.0,208.0,OTTS,0.0125298859335113,0.0085023902356624,7.0,14.0,28.0,
209,209.0,209.0,OTTS,0.0141131513859133,0.0201224768534302,7.0,14.0,29.0,
210,210.0,210.0,OTTS,0.0055019627393772,0.0090500097721815,8.0,16.0,0.0,
211,211.0,211.0,OTTS,0.0120204981936043,0.0086264088749885,8.0,16.0,1.0,
212,212.0,212.0,OTTS,0.0043638224823979,0.0085805356502532,8.0,16.0,2.0,
213,213.0,213.0,OTTS,0.0068839403321622,0.0084413979202508,8.0,16.0,3.0,
214,214.0,214.0,OTTS,0.005465116684586,0.0091874068602919,8.0,16.0,4.0,
215,215.0,215.0,OTTS,0.0102811089645836,0.008808952756226,8.0,16.0,5.0,
216,216.0,216.0,OTTS,0.0128355396069433,0.0209310632199049,8.0,16.0,6.0,
217,217.0,217.0,OTTS,0.0045588547675965,0.0109823308885097,8.0,16.0,7.0,
218,218.0,218.0,OTTS,0.004406663864792,0.0093959914520382,8.0,16.0,8.0,
219,219.0,219.0,OTTS,0.0102407759406919,0.0092723127454519,8.0,16.0,9.0,
220,220.0,220.0,OTTS,0.0040103678789266,0.0089385379105806,8.0,16.0,10.0,
221,221.0,221.0,OTTS,0.0053590720549201,0.0087139932438731,8.0,16.0,11.0,
222,222.0,222.0,OTTS,0.0075833487716828,0.0100707244127988,8.0,16.0,12.0,
223,223.0,223.0,OTTS,0.0052357708614452,0.0096090855076909,8.0,16.0,13.0,
224,224.0,224.0,OTTS,0.0054807989072869,0.009472431614995,8.0,16.0,14.0,
225,225.0,225.0,OTTS,0.0095540585170662,0.0086133629083633,8.0,16.0,15.0,
226,226.0,226.0,OTTS,0.01052177746188,0.0083577940240502,8.0,16.0,16.0,
227,227.0,227.0,OTTS,0.0042787743755693,0.0102640874683856,8.0,16.0,17.0,
228,228.0,228.0,OTTS,0.0053598584759033,0.0086854565888643,8.0,16.0,18.0,
229,229.0,229.0,OTTS,0.006087011222917,0.0086574936285614,8.0,16.0,19.0,
230,230.0,230.0,OTTS,0.004721225801059,0.0113774221390485,8.0,16.0,20.0,
231,231.0,231.0,OTTS,0.0105184187787668,0.0120125068351626,8.0,16.0,21.0,
232,232.0,232.0,OTTS,0.0055613133625814,0.0089732455089688,8.0,16.0,22.0,
233,233.0,233.0,OTTS,0.0050467134127449,0.0085795614868402,8.0,16.0,23.0,
234,234.0,234.0,OTTS,0.0060146112283199,0.0085509307682514,8.0,16.0,24.0,
235,235.0,235.0,OTTS,0.0162295621401038,0.0085086533799767,8.0,16.0,25.0,
236,236.0,236.0,OTTS,0.0053263647372218,0.0093466779217123,8.0,16.0,26.0,
237,237.0,237.0,OTTS,0.0055382705182452,0.0101362820714712,8.0,16.0,27.0,
238,238.0,238.0,OTTS,0.0041258596995308,0.0106841120868921,8.0,16.0,28.0,
239,239.0,239.0,OTTS,0.005638529523024,0.0148453023284673,8.0,16.0,29.0,
240,240.0,240.0,OTTS,0.0040629275368262,0.0104632042348384,9.0,18.0,0.0,
241,241.0,241.0,OTTS,0.0041691399398613,0.0124469995498657,9.0,18.0,1.0,
242,242.0,242.0,OTTS,0.0035071645324698,0.0111335152760148,9.0,18.0,2.0,
243,243.0,243.0,OTTS,0.0045751122278691,0.0127386944368481,9.0,18.0,3.0,
244,244.0,244.0,OTTS,0.0049738890617124,0.0095528280362486,9.0,18.0,4.0,
245,245.0,245.0,OTTS,0.0053252175066787,0.0117250932380557,9.0,18.0,5.0,
246,246.0,246.0,OTTS,0.0040627558958494,0.0122747495770454,9.0,18.0,6.0,
247,247.0,247.0,OTTS,0.0040439561217508,0.009528393857181,9.0,18.0,7.0,
248,248.0,248.0,OTTS,0.0045301649059976,0.0096745714545249,9.0,18.0,8.0,
