,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
123,123.0,OTTS,6.795842213578365e-05,0.083404547534883,7.0,14.0,3.0,
124,124.0,OTTS,7.985978861528638e-05,0.0736831370741128,7.0,14.0,4.0,
125,125.0,OTTS,0.0001066320049938,0.0813231486827135,7.0,14.0,5.0,
126,126.0,OTTS,7.430067247059744e-05,0.0974948378279805,7.0,14.0,6.0,
127,127.0,OTTS,6.082774681245788e-05,0.1100404635071754,7.0,14.0,7.0,
128,128.0,OTTS,7.766416724839647e-05,0.1228029355406761,7.0,14.0,8.0,
129,129.0,OTTS,5.1993915270526384e-05,0.1139957038685679,7.0,14.0,9.0,
130,130.0,OTTS,8.485879128171077e-05,0.1215101340785622,7.0,14.0,10.0,
131,131.0,OTTS,6.680315582916087e-05,0.0767451524734497,7.0,14.0,11.0,
132,132.0,OTTS,0.0001040039857889,0.0748902652412653,7.0,14.0,12.0,
133,133.0,OTTS,0.0001635782133593,0.0841276608407497,7.0,14.0,13.0,
134,134.0,OTTS,7.493603103929935e-05,0.0904439026489853,7.0,14.0,14.0,
135,135.0,OTTS,7.430006298957299e-05,0.0939261633902788,7.0,14.0,15.0,
136,136.0,OTTS,7.313201712546873e-05,0.0802330058068037,7.0,14.0,16.0,
137,137.0,OTTS,0.0001124593397976,0.0872867684811353,7.0,14.0,17.0,
138,138.0,OTTS,9.52423317940896e-05,0.0795338135212659,7.0,14.0,18.0,
139,139.0,OTTS,8.675056750052729e-05,0.08516685385257,7.0,14.0,19.0,
140,140.0,OTTS,4.506287678979687e-05,0.1206191703677177,8.0,16.0,0.0,
141,141.0,OTTS,4.0371847746859816e-05,0.1332428837195038,8.0,16.0,1.0,
142,142.0,OTTS,4.205890392653381e-05,0.0979857528582215,8.0,16.0,2.0,
143,143.0,OTTS,2.981984712366829e-05,0.1446919282898306,8.0,16.0,3.0,
144,144.0,OTTS,3.862992675487498e-05,0.1621715659275651,8.0,16.0,4.0,
145,145.0,OTTS,4.983594974414282e-05,0.1183417178690433,8.0,16.0,5.0,
