,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
120,STTAx2,1.612087299606811,0.377091082977131,5.0,10.0,100.0,5.0,6.0,tt_error_func,
121,STTAx2,0.8782894398674356,0.38170809810981154,10.0,20.0,100.0,10.0,6.0,tt_error_func,
122,STTAx2,0.29975152596396765,0.44217494199983776,15.0,30.0,100.0,15.0,6.0,tt_error_func,
123,STTAx2,0.13094719521248568,0.44644521409645677,20.0,40.0,100.0,20.0,6.0,tt_error_func,
124,STTAx2,0.035254268370913326,0.5363769449759275,25.0,50.0,100.0,25.0,6.0,tt_error_func,
125,STTAx2,0.012880717254797946,0.5206356700509787,30.0,60.0,100.0,30.0,6.0,tt_error_func,
126,STTAx2,0.0038348645804777357,0.5826464041601866,35.0,70.0,100.0,35.0,6.0,tt_error_func,
127,STTAx2,0.0015962944368949764,0.7383989959489554,40.0,80.0,100.0,40.0,6.0,tt_error_func,
128,STTAx2,0.00042187425307648444,0.635238051880151,45.0,90.0,100.0,45.0,6.0,tt_error_func,
129,STTAx2,0.0001649246376719286,0.7388626539614052,50.0,100.0,100.0,50.0,6.0,tt_error_func,
130,STTAx2,4.346716154245684e-05,0.769581503001973,55.0,110.0,100.0,55.0,6.0,tt_error_func,
131,STTAx2,1.5526123585599162e-05,0.8044994929805398,60.0,120.0,100.0,60.0,6.0,tt_error_func,
132,STTAx2,4.436702470575921e-06,0.9618945680558681,65.0,130.0,100.0,65.0,6.0,tt_error_func,
133,STTAx2,1.5291282178775955e-06,0.8064967021346092,70.0,140.0,100.0,70.0,6.0,tt_error_func,
134,STTAx2,4.7272173492671546e-07,0.9825200270861387,75.0,150.0,100.0,75.0,6.0,tt_error_func,
135,STTAx2,1.4761474465286233e-07,0.9531455698888749,80.0,160.0,100.0,80.0,6.0,tt_error_func,
136,STTAx2,4.539395719472411e-08,0.9515688770916313,85.0,170.0,100.0,85.0,6.0,tt_error_func,
137,STTAx2,1.4246953959862317e-08,1.2197817680425942,90.0,180.0,100.0,90.0,6.0,tt_error_func,
138,STTAx2,4.00251981574864e-09,1.0951170560438186,95.0,190.0,100.0,95.0,6.0,tt_error_func,
139,STTAx2,1.837878838437018e-11,1.0910922058392316,100.0,200.0,100.0,100.0,6.0,tt_error_func,
140,STTAx2,1.41435958853025,0.5373722538352013,5.0,10.0,100.0,5.0,7.0,tt_error_func,
141,STTAx2,0.9274213437024523,0.4061944200657308,10.0,20.0,100.0,10.0,7.0,tt_error_func,
142,STTAx2,0.32412331598339017,0.4330653678625822,15.0,30.0,100.0,15.0,7.0,tt_error_func,
143,STTAx2,0.12147900575417932,0.5094074131920934,20.0,40.0,100.0,20.0,7.0,tt_error_func,
